user_id,subscription_type,user_journey
1516,Annual,Homepage-Log in-Other-Sign up-Log in-Homepage-Log in-Checkout-Coupon-Checkout
3395,Annual,Other-Pricing-Sign up-Log in-Homepage-Pricing-Checkout
10107,Annual,Homepage-Career tracks-Homepage-Career tracks-Sign up-Log in-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
11145,Monthly,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
12400,Monthly,Homepage-Career tracks-Sign up-Log in-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Log in-Checkout
13082,Monthly,Checkout-Homepage-Sign up-Log in-Checkout
14415,Monthly,Pricing-Sign up-Pricing-Sign up-Homepage-Log in-Checkout
15630,Annual,Log in-Checkout-Pricing-Checkout-Other-Homepage-Log in-Checkout-Coupon-Homepage-Log in-Checkout
16589,Quarterly,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout
19458,Annual,Homepage-Sign up-Log in-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon
20355,Monthly,Pricing-Courses-Career track certificate-Pricing-Homepage-Log in-Checkout
22679,Annual,Coupon
23292,Annual,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Coupon-Homepage-Log in-Checkout-Log in-Checkout
24414,Annual,Coupon
31705,Annual,Homepage-Pricing-Career tracks-Checkout-Homepage-Log in-Checkout
34689,Monthly,Log in-Homepage-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Homepage-Log in-Checkout
34912,Annual,Log in-Checkout
37614,Annual,Pricing-Log in-Resources center-Log in-Sign up-Log in-Checkout-Log in-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Log in-Checkout-Homepage-Log in-Homepage-Log in-Coupon
37828,Annual,Homepage-Courses-Sign up-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Log in-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Log in-Checkout
39452,Annual,Courses-Sign up-Log in-Other-Coupon
41200,Annual,Coupon-Checkout
49669,Annual,Coupon-Other-Coupon
60084,Monthly,Other
71559,Annual,Coupon-Pricing-Sign up-Pricing-Checkout
72771,Monthly,Log in-Checkout
74256,Annual,Sign up-Log in-Other-Homepage-Log in-Checkout
75048,Annual,Resources center-Log in-Resources center-Log in-Other-Log in-Other-Courses-Log in-Coupon
82563,Monthly,Courses-Sign up-Checkout
88208,Annual,Homepage-Career tracks-Pricing-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Resources center-Pricing-Log in-Homepage-Pricing-Career tracks-Courses-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Log in-Homepage-Career track certificate-Career tracks-Courses-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
96793,Annual,Homepage-Pricing-Coupon
97516,Annual,Other-Homepage-Courses-Coupon
102461,Annual,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,Annual,Other-Log in-Coupon
105951,Annual,Coupon-Pricing-Checkout
108970,Annual,Homepage-Courses-Homepage-Career track certificate-Career tracks-Homepage-Sign up-Homepage-Course certificate-Homepage-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career track certificate-Other-Log in-Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Sign up-Checkout-Homepage-Pricing-Checkout-Pricing-Upcoming courses-Courses-Sign up-Log in-Sign up-Courses-Homepage-Pricing-Checkout-Log in-Coupon
110519,Annual,Coupon
